Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch
Jay Vijay Metals Pvt. Ltd.,ACUITE,Letter Of credit | Term loans,D,2025-10-03,263.0,HOT,True,,3.00 | 6.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 263.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Boparai Metals Pvt. Ltd.,CRISIL,Long term Loans,B,2025-10-06,260.0,HOT,True,,2.50,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 260.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Anshul Steels Ltd.,BRICKWORK,Bank Guarantee | Term loans,D,2025-10-07,259.0,HOT,True,,1.00 | 2.52,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 259.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Baroda Hi-Tech Alloys Pvt. Ltd.,CARE,Bank Guarantee | Non-fund-based financial facility/instrument,A 4+,2025-10-07,259.0,HOT,True,,2.00 | 2.20,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 259.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Sandeep Lead Alloys (India) Pvt. Ltd.,CRISIL,Bank Guarantee | Long term Loans,A 4+,2025-10-07,259.0,HOT,True,,1.00 | 16.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 259.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Bhagyalaxmi Steeltech Pvt. Ltd.,CARE | CRISIL,Fund based financial facility/instrument | Letter Of credit | Long term Loans,A 4+,2026-02-04,256.0,HOT,True,,1.56 | 35.00,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 256.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Ganpati Sponge Iron Pvt. Ltd.,ACUITE,Letter Of credit | Term loans,A 3+,2025-10-15,251.0,HOT,True,,15.00 | 11.74,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 251.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
G D Metsteel Pvt. Ltd.,CARE,Fund based financial facility/instrument | Term loans,B-,2025-10-16,250.0,HOT,True,,2.17 | 0.83,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 250.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Bassi Alloys Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument | Term loans,C,2025-10-17,249.0,HOT,True,,1.63 | 4.82,D365,Steel & Metals,NO,N/A,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 249.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
Chintpurni Steel Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB (INC)(Downgraded),2025-10-17,249.0,HOT,True,Infomerics,Rs. 60.50 Cr. | Rs. 4.20 Cr.,Infomerics,Steel & Metals,N/A,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 249.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.
