Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Balaji Oil Industries Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,27-02-2026,LOW,Y,Manufacturing,INC with IND-RA — not cooperating; switch needed,"INC blocks bank financing; ACER vs IND-RA: faster, more responsive, India-focused"
Sesha Sayee Knittings Pvt. Ltd.,Long term Loans,CRISIL,B,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Vishal Papertech (India) Ltd.,Term loans,CRISIL,B,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Secure Industries Pvt. Ltd.,Term loans,ICRA,B+,27-02-2026,LOW,Y,Manufacturing,INC with ICRA — not cooperating; switch needed,"INC blocks bank financing; ACER vs ICRA: faster, more responsive, India-focused"
Shree Badri Kedar Papers Pvt. Ltd.,Term loans,BRICKWORK,D,02-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Primex Plastics Pvt. Ltd.,Term loans,CRISIL,B,02-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Zulaikha Motors Pvt. Ltd.,Term loans,CRISIL,D,28-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Vijay Iron Foundry Pvt. Ltd.,Letter Of credit,CRISIL,A 4,28-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
N C S Auto Hub Pvt. Ltd.,Long term Loans,CRISIL,D,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Relan Motors Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Sree Sudheer Ceramics Pvt. Ltd.,Short-term loan,ICRA,A 4,27-02-2026,LOW,Y,Manufacturing,INC with ICRA — not cooperating; switch needed,"INC blocks bank financing; ACER vs ICRA: faster, more responsive, India-focused"
Raghuvanshi Industries Pvt. Ltd.,Long term Loans,CRISIL,D,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Prakash Auto Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,B,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Shakumbhri Pulp & Paper Mills Ltd.,Long term Loans,CRISIL,B,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
D L A Industries Pvt. Ltd.,Term loans,CRISIL,D,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
K C K Industries Ltd.,Long term Loans,CRISIL,B,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Federal Agro Industries Pvt. Ltd.,Long term Loans,CRISIL,B,12-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Dynatech Industries Pvt. Ltd.,Long term Loans,CRISIL,B,12-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Suich Industries Ltd.,Non-fund-based financial facility/instrument,BRICKWORK,D,12-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Jimcap Electronics Pvt. Ltd.,Non-government debt,CARE,BB/A4,11-03-2026,LOW,Y,Manufacturing,INC with CARE — not cooperating; switch needed,"INC blocks bank financing; ACER vs CARE: faster, more responsive, India-focused"
Spentagon Ceramic Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Theme Engineering Services Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,27-02-2026,LOW,Y,Manufacturing,INC with ACUITE — not cooperating; switch needed,"INC blocks bank financing; ACER vs ACUITE: faster, more responsive, India-focused"
Veekayem Fashion & Apparels Ltd.,Letter Of credit,CRISIL,A 4,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Shri Ram Wire Products Pvt. Ltd.,Long term Loans,CRISIL,B,27-02-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Venkateswara Electrical Inds. Pvt. Ltd.,Bank Guarantee,CRISIL,A 4+,11-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Auto Profiles Ltd.,Long term Loans,CRISIL,B,11-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Machino Plastics Ltd.,Non-government debt,ICRA,BB+/A4+,11-03-2026,LOW,Y,Manufacturing,INC with ICRA — not cooperating; switch needed,"INC blocks bank financing; ACER vs ICRA: faster, more responsive, India-focused"
Vidyut Urja Equipments Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,11-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Aruna Alloy Steels Pvt. Ltd.,Term loans,CRISIL,B,13-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
Brand Alloys Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,13-03-2026,LOW,Y,Manufacturing,INC with BRICKWORK — not cooperating; switch needed,"INC blocks bank financing; ACER vs BRICKWORK: faster, more responsive, India-focused"
Accurate Steel Forgings (India) Ltd.,Term loans,CRISIL,B,12-03-2026,LOW,Y,Manufacturing,INC with CRISIL — not cooperating; switch needed,"INC blocks bank financing; ACER vs CRISIL: faster, more responsive, India-focused"
