Company Name,Total_Cr,Records,Agencies,Instruments,Quarters,Earliest_Escalation,Priority_Score,Dual_Quarter
Trie-Viz Infracon Pvt. Ltd.,23.0,1,ACUITE,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
BLN Infra Private Limited,22.979999999999997,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Dec 2026,5,Single Quarter
P P Pandey Infrastructure Pvt. Ltd.,22.6,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Adhunik Infrastructures Pvt. Ltd.,21.0,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Indicon Construction Pvt. Ltd.,20.0,1,IND-RA,Fund-Based,Q1 2027,Jan 2027,3,Single Quarter
Banshidhar Construction Pvt. Ltd.,20.0,1,CARE,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Shree Saishraddha Cements Pvt. Ltd.,20.0,1,CRISIL,Long term Loans,Q2 2027,Apr 2027,3,Single Quarter
Skandhanshi Infra Projects India Pvt. Ltd.,20.0,1,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Panchdeep Constructions Ltd.,20.0,1,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
Morth Infrastructure Private Limited,19.05,2,Infomerics,Long Term Bank Facilities / Short Term Bank Facilities,Q1 2027,Jan 2027,3,Single Quarter
A To Z Developers Ltd.,19.0,2,CRISIL,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Kashipur Infrastructure & Freight Terminal Pvt. Ltd.,18.49,1,BRICKWORK,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
J K Infra-Utilities Pvt. Ltd.,18.0,2,ACUITE,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Essal Infrastructure Pvt. Ltd.,17.55,2,ACUITE,Bank Guarantee / Long term Loans,Q2 2027,Apr 2027,3,Single Quarter
Srinivas Infrastructure Pvt. Ltd.,17.0,1,IND-RA,NCD/Bond,Q1 2027,Dec 2026,6,Single Quarter
Oval Projects Engg. Ltd.,16.35,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Kandarp Constructions (India) Pvt. Ltd.,16.0,1,IND-RA,Term loans,Q2 2027,Apr 2027,3,Single Quarter
Tratec Engineers Pvt. Ltd.,16.0,2,CRISIL,Bank Guarantee / Letter of Credit,Q1 2027,Dec 2026,5,Single Quarter
P K Construction Shimla Pvt. Ltd.,15.5,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Manjeera Constructions Ltd.,15.0,1,IND-RA,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
Jaypee Projects Ltd.,15.0,2,CRISIL,Bank Guarantee / Term Loan,Q1 2027,Dec 2026,7,Single Quarter
Aishwaryagiri Constructions Pvt. Ltd.,15.0,1,CRISIL,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
Starcon Infra Projects India Pvt. Ltd.,15.0,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Senthil Construction Corpn. Pvt. Ltd.,15.0,1,BRICKWORK,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Fastbuild Blocks Pvt. Ltd.,14.55,1,CRISIL,Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Barak Valley Cements Ltd.,14.0,1,CARE,Term Loan,Q1 2027,Dec 2026,5,Single Quarter
Gaaneshkartikey Construction Pvt. Ltd.,14.0,1,BRICKWORK,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Corodex Infrastructure Pvt. Ltd.,14.0,1,CARE,Non-government debt,Q2 2027,Apr 2027,3,Single Quarter
D M R Builders Pvt. Ltd.,14.0,1,BRICKWORK,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
R K Infratel Ltd.,13.56,2,BRICKWORK,Bank Guarantee / Term Loan,Q1 2027,Mar 2027,1,Single Quarter
Yashmun Engineers Ltd.,13.35,2,CRISIL,Bank Guarantee / Fund-Based,Q1 2027,Mar 2027,1,Single Quarter
Sree Venkateswara Road Constructions Pvt. Ltd.,13.0,1,BRICKWORK,Bank Guarantee,Q1 2027,Dec 2026,5,Single Quarter
U B V Infrastructures Ltd.,13.0,1,BRICKWORK,Bank Guarantee,Q1 2027,Mar 2027,1,Single Quarter
Reliable Hitech Infrastructure Pvt. Ltd.,13.0,1,CRISIL,Bank Guarantee,Q2 2027,Apr 2027,3,Single Quarter
Purvanchal Construction Works Pvt. Ltd.,12.3,1,CARE,NCD/Bond,Q1 2027,Dec 2026,6,Single Quarter
